Column1,Column2,Column3
@adamherold_,@StephenAtHome,RT
@Rebelyel21,@LibertyNews1776,RT
@Rebelyel21,@VP,Mention
@katmur23,@KatTimpf,RT
@ScottChalleen,@ScottChalleen,Tweet
@TheEmptyMind1,@YourAnonNews,RT
@healthcareiar,@GeorgeTakei,RT
@stevens51436,@BuxySays,RT
@LolaQuinn1,@GodsMigraine,RT
@DevonDiggler,@Green_Footballs,RT
@DevonDiggler,@DrJillStein,Mention
@PluttenArvid,@ajplus,RT
@xECK29x,@AltNatParkSer,RT
@Michael322016,@comermd,RT
@dalis_huerta,@StephenAtHome,RT
@_brandonchiang,@danpfeiffer,RT
@fritchee,@FIRE_THE_FOOL,RT
@maryahchi,@maryahchi,Tweet
@MaryWiliams2,@StephenAtHome,RT
@Abinormal1,@PalmerReport,RT
@skness5561,@YoungDems4Trump,RT
@Ianto_back2_TW,@AltNatParkSer,RT
@Jbird8,@Darren32895836,RT
@Jbird8,@realDonaldTr,Mention
@k_ashley_g,@Pappiness,RT
@monikabielskyte,@Shteyngart,RT
@rinchandaifan,@GeorgeTakei,RT
@rinchandaifan,@xadrian,Mention
@chicitygirl1999,@Impeach_D_Trump,RT
@zenjduke,@zenjduke,Tweet
@oldusarmyvet,@oldusarmyvet,Tweet
@CoolCalmCam,@xandertheblue,RT
@Ibis1215Se,@OurRevolution,RT
@AJayne0137,@bradlander,RT
@RosemaryOMall33,@RogueNASA,RT
@RosemaryOMall33,@gizmodo,Mention
@SweetLouCvijan,@robportman,Reply
@Selenatorgramps,@jobeckerhrw,RT
@Bookfoolery,@danpfeiffer,RT
@Powerfactor1,@charliekirk11,RT
@Powerfactor1,@SenatorDurbin,Mention
@bayy_2455,@StephenAtHome,RT
@SandyMillerTV,@SandyMillerTV,Tweet
@FassFass,@FassFass,Tweet
@DerekAndonian,@brianklaas,RT
@KelcyMae,@BillCassidy,Reply
@radio_format,@SenDuckworth,RT
@pabbyrock,@jeremyscahill,RT
@ad4mmm,@ad4mmm,Tweet
@odono_WHO,@jbendery,RT
@joycebrophy2,@ErnstForIowa,Reply
@LaughingIguana,@funder,RT
@agetchel87,@latimes,RT
@312style,@igorvolsky,RT
@ldhancock1,@ScottPresler,RT
@Brian_Williams2,@KevinFarzad,RT
@Kelly3377,@GeorgeTakei,RT
@NathanTunell,@kurteichenwald,RT
@Bad_Woof,@ChrisMurphyCT,RT
@USNewsOpinion,@USNewsOpinion,Tweet
@JaniceAsylum,@CREDOMobile,RT
@JaniceAsylum,@SenateGOP,Mention
@Read_AboutMi_,@_CharlesPreston,RT
@jamestolkien,@billyeichner,RT
@jamestolkien,@GOP,Mention
@AmandaHulse7,@LindseyGrahamSC,Reply
@AmandaHulse7,@SenatorSessions,Mention
@BHProut,@KevinFarzad,RT
@tenderviktuuris,@BrianWithCheese,RT
@mntwins020733,@ItsDanSheehan,RT
@conorxgracey,@MacsealBand,RT
@NYLabor4Bernie,@MariaLangholz,RT
@kookienlex,@HalfOnionInABag,RT
@jasminexjordana,@GeonnCannon,RT
@WhiskersVTwin,@Impeach_D_Trump,RT
@Miller_821,@SethMacFarlane,RT
@un_feas_ible,@StephenAtHome,RT
@mhowell45,@newtgingrich,RT
@PatAnnTX,@bannerite,RT
@mswingsclass,@hassettfive,RT
@mswingsclass,@KrondaLISD,Mention
@Marylu_La_Maiba,@StephenAtHome,RT
@deesurgtec,@JoshMalina,RT
@AlexBowlby,@errrhannah,RT
@Son_ofJohn,@pattonoswalt,RT
@phil_jacobson,@phil_jacobson,Tweet
@Torralvo6,@Torralvo6,Tweet
@probablylia,@probablylia,Tweet
@unverxed,@MrSpock2017,RT
@lalo_soccer13,@brianklaas,RT
@ErgoCogitamus,@brainpicker,RT
@tgpekarek,@AmyMek,RT
@SophieDandelion,@TheRoot,RT
@chikiiwikii,@edsbs,RT
@abrandonkelly,@abrandonkelly,Tweet
@WheatSuzanne,@WheatSuzanne,Tweet
@Mr601,@molly_knight,RT
@ComleyKyle,@YourAnonNews,RT
@Unity_Coach,@AltNatParkSer,RT
@dnrevel,@StephenAtHome,RT
@_LaurenMarie21_,@officialflume,RT
@Kam_aya,@SenateDems,Reply
@heymrjason,@mattyglesias,RT
@tommyjoz,@POTUS,RT
@BraydenHodges,@mynameisntdave,RT
@Feerce973,@WORLDSTAR,Mention
@Feerce973,@therealdjlaz,Mention
@Feerce973,@miamipipeline,Mention
@Katiedidnt__,@SJSchauer,RT
@LibertyLove2017,@TeaPainUSA,RT
@darklingwoods,@SethMacFarlane,RT
@tupacAvenged,@Brick_04,RT
@carmelmom1966,@SethMacFarlane,RT
@aft_on,@stevesilberman,RT
@aft_on,@xdelmar59,Mention
@radio_format,@SenDuckworth,RT
@skywalkersglow,@LivingBlueinRed,RT
@hellopeople218,@hellopeople218,Tweet
@Gintree,@SenatorBurr,Reply
@Gintree,@SenThomTillis,Mention
@Stefaniya,@CharlesMBlow,RT
@kvrieirving,@_RickyMinaj,RT
@DirkMaravich,@Orangemoonwerks,RT
@Kristi_McDowell,@ItsDanSheehan,RT
@moos_at_eleven,@sjredmond,RT
@JessieLou123,@democracy4ppl,RT
@FawksWatcher,@charlescwcooke,RT
@ProChoiceGMA,@tonyposnanski,RT
@rendhahaha,@AGuyNamed_Nick,RT
@Teeda100,@CharlesMBlow,RT
@thirddegreenerd,@StephenAtHome,RT
@ingrid_weiland,@OurRevolution,RT
@BrooksDslbrooks,@RogueNASA,RT
@BrooksDslbrooks,@gizmodo,Mention
@larrysmith12101,@wilw,RT
@SandyDeAmicis,@SethMacFarlane,RT
@anthonypizzuto,@anthonypizzuto,Tweet
@brenttompkins_,@marcuspaige5,RT
@urlocalcartoon,@Travon,RT
@TeamKnoxPitts,@KyleKulinski,RT
@Barbeauxbot,@campcreek,RT
@enfingercolton2,@YoungDems4Trump,RT
@enfingercolton2,@SenatorCollins,Mention
@enfingercolton2,@lisamurkowski,Mention
@MellyRondina,@EugeneLeeYang,RT
@morgan___alyssa,@SJSchauer,RT
@zchamu,@BrianWithCheese,RT
@salmangano,@salmangano,Tweet
@sweetwoodlands,@wilw,RT
@robotleggs,@robotleggs,Tweet
@just1natorR,@ThomasSanders,RT
@RoyaltyClinton,@jonfavs,RT
@RoyaltyClinton,@JeffFlake,Mention
@RoyaltyClinton,@DeanH,Mention
@3000mp,@TallahForTrump,RT
@3000mp,@VP,Mention
@InezBordeaux,@Green_Footballs,RT
@InezBordeaux,@DrJillStein,Mention
@hayl3yjon3s,@SethMacFarlane,RT
@YouDonKnowMe,@danpfeiffer,RT
@toniac18,@SethMacFarlane,RT
@realJohnJericho,@RoseAnnDeMoro,RT
@CosmicDust1985,@Impeach_D_Trump,RT
@BlackSymbiote,@BrianWithCheese,RT
@JandG1975,@realDonaldTrump,Reply
@betteredthanGOP,@Pappiness,RT
@Tranic1,@thistallawkgirl,RT
@Matthew_Poe1994,@Cody_Mullens,RT
@Matthew_Poe1994,@SenCapito,Mention
@theturk,@sahluwal,RT
@killer_rabbit90,@AltNatParkSer,RT
@aayalur,@jbendery,RT
@BrettWright,@twinkpiece,RT
@ktbach94,@igorvolsky,RT
@JetsFan1966,@SethMacFarlane,RT
@bressli,@Green_Footballs,RT
@iamteresamurphy,@Green_Footballs,RT
@fullerjohn1119,@kurteichenwald,RT
@violet7489,@realDrOlmo,RT
@mastertwitteur,@wilw,RT
@AssKickinLibMom,@CharlesMBlow,RT
@Rothko291,@RepJackKimble,RT
@99_rogers,@TheDemocrats,RT
@ClearlySpeaks,@UltraViolet,RT
@ClearlySpeaks,@SenateDems,Mention
@BrianHPark,@vicenews,RT
@NicoleLazzaro,@NicoleLazzaro,Tweet
@iconcollector2,@StephenAtHome,RT
@MReilly90,@shellie_naquin,RT
@GioInouye,@RogueNASA,RT
@GioInouye,@gizmodo,Mention
@CaliTudorRose,@Adam_Gassman,RT
@pmswolfy,@KGBVeteran,RT
@big_carsonrocks,@TEN_GOP,RT
@IreneAdlerCal,@LabSplice,RT
@t_e_g_s,@SethMacFarlane,RT
@lexiloraine,@OnionPolitics,RT
@drgenmoncada,@dylanceeee,RT
@ethanwatson44,@TravisSpeice,RT
@ethanwatson44,@usedgov,Mention
@zamboni,@catvalente,RT
@mashpn,@kurteichenwald,RT
@modernmilkmaid,@RogueNASA,RT
@modernmilkmaid,@gizmodo,Mention
@meyoung12,@LabSplice,RT
@clarevward,@GeorgeTakei,RT
@LeoZaman579,@LibyaLiberty,RT
@carmic14,@People4Bernie,RT
@TheobaldSprague,@GeorgeTakei,RT
@kenzienicole101,@kenzienicole101,Tweet
@mdbjolly,@robdelaney,Reply
@mdbjolly,@Channel4,Mention
@otterlesbian,@LabSplice,RT
@cherryblossom06,@DBHnBuckhead,RT
@OneAdamOneEve,@DaveNYviii,RT
@debbiegar2,@AmyMek,RT
@Drew_Herndon53,@KaivanShroff,RT
@ecosciencelab,@ChrisMurphyCT,RT
@klj_bklyn,@JohnFugelsang,RT
@LindaJoySinglet,@KamalaHarris,RT
@magsd94,@magsd94,Tweet
@jasgasms,@BernieSanders,RT
@tshirsbrunner,@DrJillStein,Reply
@RoyaltyClinton,@JoyAnnReid,RT
@CrusaderTrump,@Cernovich,RT
@book_of_lorrie,@YourAnonNews,RT
@ProChoiceGMA,@OpDrumpfHQ,RT
@CL2Empower,@CharlesMBlow,RT
@4589roger,@IMPL0RABLE,RT
@bgcpark,@SethMacFarlane,RT
@BlueEyedSailor,@Saltytrees,RT
@nebulagold,@People4Bernie,RT
@la_varo,@DrJillStein,Reply
@lunarcosx,@mmmlok,RT
@AktionDemograph,@WhiteHouse,Reply
@AktionDemograph,@VP,Mention
@AktionDemograph,@Mike_Pence,Mention
@AktionDemograph,@BetsyDeVos,Mention
@buttsiejr,@Alt_DeptofED,RT
@buttsiejr,@NewYorker,Mention
@aplemkseriously,@JimmyMak1,RT
@aplemkseriously,@senrobportman,Mention
@cimerians,@JimSterling,RT
@Mish003,@Mish003,Tweet
@1dayDammit,@ItsDanSheehan,RT
@HrFlick,@LabSplice,RT
@carolinecelis,@RogueNASA,RT
@carolinecelis,@gizmodo,Mention
@PattyElsenbast,@TheFreyta,Reply
@PattyElsenbast,@nicolebeat,Mention
@BrettWright,@twinkpiece,RT
@blakerobert20,@StephenAtHome,RT
@ScottLee1967,@Bernie_Facts,Reply
@ScottLee1967,@therealezway,Mention
@shaweenie_,@SethMacFarlane,RT
@pugmom1959,@MrTommyCampbell,RT
@BusyChasingNick,@USARedOrchestra,RT
@annalizaroque3,@womensmarch,RT
@leslieshawNC,@GeorgeTakei,RT
@HedwigGraymalk,@wilw,RT
@bnislm,@AmyMek,RT
@Marcela_Paz_,@MMFlint,RT
@TheChelseaUnion,@MMFlint,RT
@noofs13,@DrStaceyPatton,RT
@sassyblackburn,@now7grandkids,RT
@AlexKPorell,@JoyAnnReid,RT
@pamsky65,@SethMacFarlane,RT
@scottsantens,@wilw,RT
@rachelannjames,@lkortbutler,RT
@SydneySmithh123,@SethMacFarlane,RT
@vishalsr,@Alyssa_Milano,RT
@vishalsr,@lisamurkowski,Mention
@vishalsr,@SenatorCollins,Mention
@Newsericks,@LivingBlueinRed,RT
@KP_2069,@StephenAtHome,RT
@Andrea_Papas,@thehill,RT
@adviseagainstit,@RayRLibrandi,Reply
@TheRealKyleOrd,@pattonoswalt,RT
@lukemountainman,@tastefactory,RT
@ray8686,@Green_Footballs,RT
@ray8686,@DrJillStein,Mention
@EAnnHansen,@Travon,RT
@jocabps,@ajplus,RT
@Joe_Bridgman,@Pamela_Moore13,RT
@arieldayworth,@OurRevolution,RT
@bosco3509,@KyleKulinski,RT
@birdzfriend,@imillhiser,RT
@DrLindaShelton,@randyprine,RT
@DrLindaShelton,@BenSasse,Mention
@PlanetDominica,@mikepence,Reply
@akv163,@GeorgeTakei,RT
@unjinah,@brianklaas,RT
@salliedj,@CharlesMBlow,RT
@lissie_44,@_RickyMinaj,RT
@WA_JPollard,@wilw,RT
@DLearmont1,@MMFlint,RT
@bearandbull,@JohnFugelsang,RT
@LexRambeau,@BrianWithCheese,RT
@NooraBird,@ALT_DOJ,RT
@janetwh60131676,@RubeBait,RT
@HeideggerFan,@girlsreallyrule,RT
@mntwins020733,@jbendery,RT
@Kittehh_cat,@wilw,RT
@RoyaltyClinton,@Elizasoul80,RT
@TallGlassOagua,@ALT_DOJ,RT
@hlesbrown,@hlesbrown,Tweet
@ClaireHeise,@nwlc,RT
@MtnMermaid618,@nycjayjay,RT
@defendpop_punkk,@ParkerMolloy,RT
@micheloh62,@micheloh62,Tweet
@EthicaLLC,@EthicaLLC,Tweet
@morningloriassi,@StephenAtHome,RT
@Truthdig,@CharlesMBlow,RT
@ViewtifulPup,@GeorgeTakei,RT
@pronounced_ing,@CharlesMBlow,RT
@patty_bray,@ParkerMolloy,RT
@AomineTheGod,@1Lcampesino,RT
@PubliusVoice,@CraigCons,RT
@Totes_Mcgoates,@StephenAtHome,RT
@pre_millionaire,@DrTGIF,RT
@ArikaHerron,@npr_ed,RT
@CaleyFretz,@Buck_McCray,Reply
@mspriesttweets,@mspriesttweets,Tweet
@woowoo_ayee,@EllerySchneider,RT
@roccoroni,@SymoneDSanders,RT
@_carolineotoole,@StephenAtHome,RT
@jeannine_lane,@ItsDanSheehan,RT
@channel__2,@EdwardTHardy,RT
@_Economie,@_Economie,Tweet
@eccyntric_one,@ajplus,RT
@HeatherWeaverDC,@ChrisMurphyCT,RT
@RenoInDC,@ChrisMurphyCT,RT
@jyester55,@Elizasoul80,RT
@Beholden2None,@Brick_04,RT
@KaylaK9597,@wilw,RT
@sisteramnesia64,@AltNatParkSer,RT
@Allysus5Hs,@shannonrwatts,RT
@Allysus5Hs,@LaurenJauregui,Mention
@amymichuki,@npr_ed,RT
@grapejellykelly,@EricBoehlert,RT
@Gumball55668882,@Lqdmetal,RT
@RoelSantosJr,@hipsterocracy,RT
@sarahnichols013,@TheAffinityMag,RT
@amandalago_,@YourAnonNews,RT
@LondonsCallingU,@GeorgeTakei,RT
@ShaylaLove,@ShaylaLove,Tweet
@velobin,@HrishiHirway,RT
@lovealaska1105,@KaivanShroff,RT
@nicole_krasnow,@stevesilberman,RT
@nicole_krasnow,@xdelmar59,Mention
@PraiseK3k,@TrumpPence45,RT
@AmnaAhmad,@ItsDanSheehan,RT
@killer_rabbit90,@TheLewisBlack,RT
@nicolesandler,@jeremyscahill,RT
@jsmith28998,@BernieCrats1,RT
@FilthyPianist,@richardconway21,RT
@AlmaForte2,@SethMacFarlane,RT
@bluebayou2888,@StephenAtHome,RT
@djwoolverton,@naretevduorp,RT
@djwoolverton,@SenJohnMcCain,Mention
@djwoolverton,@LindseyGrahamSC,Mention
@16Martineza,@StephenAtHome,RT
@ValdesAlise,@pattonoswalt,RT
@natedog4th,@HesterBlum,RT
@natedog4th,@SenToomey,Mention
@monikabielskyte,@ManMadeMoon,RT
@NellieBragg,@thinkprogress,RT
@Daytonanurse,@noropthony,RT
@Daytonanurse,@GOP,Mention
@Daytonanurse,@MarcoRubio,Mention
@Daytonanurse,@realDonaldTrump,Mention
@LareinaDee,@girlsreallyrule,RT
@LadyLola420,@yashar,RT
@michmouse2002,@MrTommyCampbell,RT
@MorganSanchez_,@StephenAtHome,RT
@rehsawg,@SenatorLankford,Reply
@horner70,@BigStick2013,RT
@ArpeetKamdar,@ArpeetKamdar,Tweet
@TxYankee33,@TxYankee33,Tweet
@SFMassageSupply,@MordorNPS,RT
@alainbalano,@wilw,RT
@Christufer9,@BrittPettibone,RT
@JefferyDuke,@TheJohnDiMaggio,RT
@mmmtylerkimball,@rmayemsinger,RT
@carolynconlee,@StephenAtHome,RT
@reginahickey,@StephenAtHome,RT
@fuckBORNTOWN,@MrSpock2017,RT
@Dc37Deborah,@seanmdav,RT
@carmic14,@Stonekettle,RT
@arcadiacalls,@newtgingrich,RT
@IAmNotKeyonce,@SethMacFarlane,RT
@cmartineau137,@misterpatches,RT
@mtstang24,@StephenAtHome,RT
@ChumJetzt,@ItsDanSheehan,RT
@ErinSchelts,@KevinFarzad,RT
@susan_perino,@sandicast,Reply
@susan_perino,@MiamiNewTimes,Mention
@TAMThomasTAM,@OhGodItsAlexis,RT
@nlkeati,@nlkeati,Tweet
@alisonnadeau826,@gogreen18,RT
@WaveDolls,@wilw,RT
@mamatracy,@fredchever,RT
@mamatracy,@marcorubio,Mention
@mamatracy,@AltDptEducation,Mention
@nicoletaryn1,@Millennial_Dems,RT
@ApparentlyLeia,@ALT_DOJ,RT
@jules_02134,@StephenAtHome,RT
@clorfskux,@juddweiss,RT
@shaktifiedOm,@MMFlint,RT
@Pgctjp,@SenatorCollins,Reply
@dreamerbeast,@igorvolsky,RT
@Lou74inKC,@GarthFT,RT
@sichengod,@VoluntaryRecall,RT
@lovnlife502003,@DaveNYviii,RT
@DeborahPavek,@CharlesMBlow,RT
@rebida79,@RoseAnnDeMoro,RT
@sarahmlawless,@StephenAtHome,RT
@debbiegar2,@AmyMek,RT
@Bobincredible,@Shannon_Eubanks,RT
@Bobincredible,@GingeryRogers,Mention
@GriffenBurkes,@scottagunn,RT
@NC1Sam,@VP,Reply
@rogue_nemo,@SenSanders,RT
@ImBaileh,@ChloeBennet4,RT
@AmericaNOW3,@MMFlint,RT
@p447,@OurRevolution,RT
@Auntie_Trump,@GeorgeTakei,RT
@StellaByStar7,@RVAwonk,RT
@PuzzleAtWork79,@LibyaLiberty,RT
@lucymypet,@TheRReport,RT
@profepalazzo,@NickKristof,RT
@S_Devenish,@SpecialKMB1969,RT
@IMPaolaC,@wilw,RT
@equipmentchris,@KYWNewsradio,RT
@equipmentchris,@BetsyDeVos,Mention
@equipmentchris,@SteveTawa,Mention
@01001101011TDA1,@B3infos,RT
@01001101011TDA1,@NewYorker,Mention
@wooltonparish,@Impolitics,RT
@LFlanagan,@GeorgeTakei,RT
@AmberAufmerksam,@positivefem2016,RT
@sam__aria,@itzzkait,RT
@brookselaine70,@Richard_Schiff,RT
@ariannalizzz,@AnnieAskreb,RT
@Anthropic,@PalmerReport,RT
@megalibrarygirl,@LogoTV,RT
@kigobr2003,@brianklaas,RT
@5xladymn,@jfreewright,RT
@errdaisha,@deray,RT
@QuestHolla,@MaxineWaters,RT
@AlexBowlby,@BernieSanders,RT
@ItsIMANIrose,@ItsIMANIrose,Tweet
@KhrystylRhayne,@stevesilberman,RT
@KhrystylRhayne,@xdelmar59,Mention
@click_davie,@click_davie,Tweet
@BenDarling_,@kumailn,RT
@JessieLou123,@brianklaas,RT
@whitetears7,@GeorgeTakei,RT
@jules1327,@tonyposnanski,RT
@marieilena2010,@ReutersPolitics,RT
@almadenm49,@almadenm49,Tweet
@sighnatasha,@TheAffinityMag,RT
@pumpkinlud,@PopCrush,RT
@pumpkinlud,@LaurenJauregui,Mention
@pumpkinlud,@MichelleVisage,Mention
@CheckingTheMath,@RogueCPI,RT
@Intel3210,@funder,RT
@giveawaydowly,@giveawaydowly,Tweet
@macmcdougal,@macmcdougal,Tweet
@CarliStew,@orionnichole,RT
@sophsistevaris,@cat_hathaway,RT
@xandertheblue,@xandertheblue,Tweet
@Anne_Kraus_CoE,@SenSanders,RT
@YSMDDOTCOM,@YSMDDOTCOM,Tweet
@wiifity,@shannonrwatts,RT
@wiifity,@LaurenJauregui,Mention
@leesgreenberg,@naretevduorp,RT
@leesgreenberg,@SenJohnMcCain,Mention
@leesgreenberg,@LindseyGrahamSC,Mention
@iControlKaos,@iControlKaos,Tweet
@chris_2percent,@WillSpoerl,RT
@_MsAjaD,@LandoSoReal,RT
@fixit_fitz,@1Lcampesino,RT
@Shanilla8,@alyssaharad,RT
@_danielfu_,@StephenAtHome,RT
@magali23_magali,@magali23_magali,Tweet
@bozeman_j,@GeorgeTakei,RT
@dw399,@kumailn,RT
@LondonsCallingU,@StephenAtHome,RT
@KurttheFearless,@thinkprogress,RT
@dnrevel,@wilw,RT
@JenBenoist,@JenBenoist,Tweet
@stephentrask,@fortunefunny,RT
@GossipCop,@GossipCop,Tweet
@CharieB2me,@sean_spicier,RT
@icysimon,@RepAdamSchiff,RT
@icysimon,@usedgov,Mention
@llarks,@JoyAnnReid,RT
@AlexKPorell,@JoyAnnReid,RT
@DefeoMichael,@POTUS,RT
@kyrrraaaa,@UltraViolet,RT
@kyrrraaaa,@SenateDems,Mention
@LilyMaryTG,@jbendery,RT
@ecothought,@LibyanBentBladi,RT
@ecothought,@mi,Mention
@ewrobelen,@EdTrust,Reply
@fullerjohn1119,@jonfavs,RT
@fullerjohn1119,@JeffFlake,Mention
@fullerjohn1119,@DeanH,Mention
@haydenpace96,@ItsDanSheehan,RT
@MendallMendall1,@POTUS,RT
@Greeblehaus,@alexisvorhaus,RT
@ferlinda47,@NormOrnstein,RT
@zack3ckles,@mattyglesias,RT
@JesuisSanta,@DrTGIF,RT
@OHPllc,@Pres_Bartlet,RT
@UncommonSense73,@tonyposnanski,RT
@Strakul,@brianklaas,RT
@PaulObrienUSA,@ScottPresler,RT
@epicfaildrone,@DeafRedBear,RT
@DanaSchoonover1,@newtgingrich,RT
@jsundmanus,@LabSplice,RT
@aBeeNrml,@aBeeNrml,Tweet
@irlvenus,@BrianWithCheese,RT
@ZSharon,@SonnyBoninsegna,Reply
@ZSharon,@SenCapito,Mention
@JMonet81,@StephenAtHome,RT
@Sha_Elise24,@WaywardWinifred,RT
@AKhatib23,@AKhatib23,Tweet
@JuddsKidding,@bornmiserable,RT
@dhroovaa,@ItsDanSheehan,RT
@WordBirdEditor,@Green_Footballs,RT
@Mblobs,@joss,RT
@GrumpyKatKat801,@AmyMek,RT
@JodySchering,@SethMacFarlane,RT
@ColoHeadlines,@ColoHeadlines,Tweet
@sh3lbyl3igh,@jbendery,RT
@MajocheMarie,@SenSanders,RT
@nerdenheimjen,@AltNatParkSer,RT
@violet7489,@Darren32895836,RT
@violet7489,@realDonaldTr,Mention
@dakan001,@benshapiro,RT
@PeronicaVittman,@PeronicaVittman,Tweet
@connorlma0,@ItsDanSheehan,RT
@tygore7,@wilw,RT
@ToddHellsKitch,@EdwardTHardy,RT
@Mae_DayJ,@misterpatches,RT
@riaaustin1,@politico,Reply
@riaaustin1,@SenJohnMcCain,Mention
@riaaustin1,@realDonaldTrump,Mention
@vikkids,@BernieCrats1,RT
@Sesquipedalian,@joss,RT
@bajamamama1,@Tina47721772,Reply
@bajamamama1,@SenJohnMcCain,Mention
@PirateDB8,@USATODAY,RT
@rshawnedmonds,@GeorgeTakei,RT
@Debi129,@ChrisMurphyCT,RT
@dracostar1,@dracostar1,Tweet
@BreakingNewss3,@BreakingNewss3,Tweet
@HsiungMarler,@SenateGOP,Reply
@nonstandardrep,@OhGodItsAlexis,RT
@tmlfa,@StephenAtHome,RT
@wordwizard361,@KamalaHarris,RT
@adamherold_,@SethMacFarlane,RT
@Kylere_Original,@Jbrous14,RT
@elisse133,@Moo57556470,RT
@john_nettleton,@john_nettleton,Tweet
@BOOMshockaLOKKA,@redsteeze,RT
@mattrussell_PhD,@ItsDanSheehan,RT
@RickAndKim30yrs,@seanmdav,RT
@keishajo9,@SenatorCollins,Reply
@AshleyKay72,@ItsDanSheehan,RT
@RednaxalA,@RednaxalA,Tweet
@gervmb,@jordan_stratton,RT
@beamer98,@AndyHerren,RT
@RobHalloran9,@huntigula,RT
@HolleSharon,@DisavowTrump16,RT
@Parkerk10,@shellie_naquin,RT
@nekokat42,@BrianWithCheese,RT
@D_Town_Ninja,@GeorgeTakei,RT
@lindac1118,@StephenAtHome,RT
@crzybryseph,@timkaine,RT
@1776Rattlesnake,@AliceJWGreen,RT
@1776Rattlesnake,@PaulaRivera45,Mention
@Scotladywriter,@Scotladywriter,Tweet
@alanpca,@LabSplice,RT
@Bblluueess1,@brianklaas,RT
@wendeeeee_,@GeorgeTakei,RT
@JeanMcT8,@CharlesMBlow,RT
@halliekurr,@DaniSButcher,RT
@YoyodyneInc,@JoshMalina,Reply
@WilLisaGraham,@Brick_04,RT
@tomgolda225,@OhGodItsAlexis,RT
@KatieOnuma,@JohnFugelsang,RT
@d00i,@d00i,Tweet
@pattiann119,@funder,RT
@MarkEbner59,@SethMacFarlane,RT
@WaveDolls,@washingtonpost,RT
@jacki_83,@RogueNASA,RT
@jacki_83,@gizmodo,Mention
@danalumlert,@MichaelSkolnik,RT
@omfgstydiaa,@SethMacFarlane,RT
@DaveEsporado,@AlasscanIsBack,RT
@JDolon23,@GeorgeTakei,RT
@cromulentwebb,@TheNardvark,RT
@jgdeporre1,@Mary_Clare21,RT
@danielZbarber,@danielZbarber,Tweet
@theon0563,@LibyaLiberty,RT
@OttoBoxx,@SethMacFarlane,RT
@HeyHeyitsLezJ,@HeyHeyitsLezJ,Tweet
@CelleighCaryn,@StephenAtHome,RT
@colleenkingd,@colleenkingd,Tweet
@jenniferx007,@molly_knight,RT
@E__Strobel,@olestinkypants,RT
@E__Strobel,@JuddLegum,Mention
@pauly0505,@cmdrdbleagle,RT
@elkmating,@jimearl666,Reply
@mrsjjee,@mrsjjee,Tweet
@DaddyOuranos,@DaddyOuranos,Tweet
@christinafranz_,@KevinFarzad,RT
@sandykate,@jbendery,RT
@alijepson,@SethMacFarlane,RT
@CallingU0UT,@Pappiness,RT
@J1Brand,@SenBookerOffice,RT
@RobertH01920864,@KenBerry611,RT
@MtnMermaid618,@GeorgeTakei,RT
@Ijghtwood,@ChloeBennet4,RT
@Dinsmaum,@AltNatParkSer,RT
@Reeder8994,@Diane_7A,RT
@michael_gauger,@SenToddYoung,Reply
@ortpcl,@rj_cresswell,RT
@LMBroad,@brianklaas,RT
@emmelineeeeeee,@joseiswriting,RT
@abintus1,@Pogue,RT
@miarene1,@toodustin,RT
@Ari_thereyet,@Ari_thereyet,Tweet
@joshroby,@primaryHans,Reply
@joshroby,@BrianWithCheese,Mention
@Renprice,@CotUS0001,RT
@LLinOH,@thinkprogress,RT
@ralepine,@CREDOMobile,RT
@ralepine,@SenateGOP,Mention
@KimbyIndy,@stevebenen,RT
@DoomBuggy71,@AndyRichter,RT
@dfedack,@SenatorIsakson,Reply
@Shannon1342,@kurteichenwald,RT
@chiefster16,@brianklaas,RT
@jonesfamilyof4,@wilw,RT
@missEmilyCheree,@wilw,RT
@Ragna_Lothbrok,@ItsDanSheehan,RT
@openib,@SenSanders,RT
@CrabbeAnita,@deray,RT
@carolynconlee,@SethMacFarlane,RT
@ProChoiceGMA,@EdwardTHardy,RT
@MediaTzarina,@49Rfhuow4yPk858,Reply
@MediaTzarina,@FoxNews,Mention
@MediaTzarina,@MeghanMcCain,Mention
@MediaTzarina,@BetsyDeVos,Mention
@MediaTzarina,@FoxNewsInsider,Mention
@sjb6e,@nytimes,RT
@lobster_writer,@LabSplice,RT
@WeinerFran,@ramonctaylor,RT
@maureenm2000,@SuzyRyan4,RT
@Echavez144,@EugeneLeeYang,RT
@Malachi1008,@GeorgeTakei,RT
@KeraMoMusic,@SethMacFarlane,RT
@lonegamer78,@Gizmodo,RT
@coffeeismydrug6,@wilw,RT
@Dis_CT,@juliakite,RT
@debategeeketc,@GeorgeTakei,RT
@inteldose,@inteldose,Tweet
@HHPerazza,@EriKagamiSews,RT
@JoJesska,@yashar,RT
@jonasrn,@RWPUSA,RT
@juliaepaige,@ItsDanSheehan,RT
@TriSam2,@ZenTriathlon,RT
@mscole227,@JoyAnnReid,RT
@lushuslulu,@JuddLegum,RT
@mamaber5,@brianklaas,RT
@Mark_Kawada,@LibyaLiberty,RT
@GreenaBina007,@ALT_DOJ,RT
@deesurgtec,@latimes,RT
@Keys4education,@CREDOMobile,RT
@Keys4education,@SenateGOP,Mention
@DivaAngGlam,@politico,RT
@DivaAngGlam,@BetsyDeVos,Mention
@ChristianV_96,@YourAnonNews,RT
@MajocheMarie,@BernieSanders,RT
