Column1,Column2,Column3
@robin_locksmith,@GeorgeTakei,RT
@xxeroxxxx,@BrendanW73,RT
@AplValete,@MMFlint,RT
@CLandreau82,@LogoTV,RT
@abosco,@Green_Footballs,RT
@abosco,@DrJillStein,Mention
@scoutfinch2271,@Impeach_D_Trump,RT
@SposatoWalls,@SposatoWalls,Tweet
@Luxordus,@MMFlint,RT
@N_SoCal,@ItsDanSheehan,RT
@wheelercynthia,@ms_erika74,RT
@155madre,@danpfeiffer,RT
@PattersonWR,@StephenAtHome,RT
@Ellenique_3,@CharlesMBlow,RT
@brocadeghost,@BrianWithCheese,RT
@castruita_c,@TrueEO,RT
@castruita_c,@realDonaldTrump,Mention
@ravan5,@GeorgeTakei,RT
@ryesteph,@ALT_DOJ,RT
@LaneyHoward3,@taterpie,RT
@jacobenimble,@wilw,RT
@roze_hurd,@theRza2u,RT
@rkb200,@MSEAeducators,RT
@cookerT,@SenJohnMcCain,Reply
@allivalett,@ALT_DOJ,RT
@Luxordus,@RogueNASA,RT
@Luxordus,@gizmodo,Mention
@leslieshawNC,@AltNatParkSer,RT
@JiveBarker,@Elizasoul80,RT
@Walkyrjenny,@Pres_Bartlet,RT
@Alex_Obrrien,@Alex_Obrrien,Tweet
@Lisaallenfitnes,@funder,RT
@nc362,@SethMacFarlane,RT
@ryesilverman,@ryesilverman,Tweet
@arelyarlenne,@shannonrwatts,RT
@arelyarlenne,@LaurenJauregui,Mention
@arcacha_k,@MMFlint,Reply
@MitchEganSlate,@charliekirk11,RT
@Linz775,@DavyJonesPizza,RT
@Linz775,@HillaryClinton,Mention
@Linz775,@SenSchumer,Mention
@Sunny_B05,@TheAffinityMag,RT
@THCrinstam,@THCrinstam,Tweet
@audreyswan07,@MMFlint,RT
@Bruce_Leroy,@TylerACherry,RT
@LordLolo02,@BernieSanders,RT
@DWMoulinier,@StephenAtHome,RT
@JonathanLSeagul,@thelittleidiot,RT
@_batou_,@_batou_,Tweet
@penelope_low,@Slate,RT
@nancyl367,@mitchellvii,RT
@GmaDutt,@evanmcmurry,RT
@fuckyouimbetter,@AntonioArellano,RT
@fuckyouimbetter,@BetsyDeVos,Mention
@sharfaust,@GeorgeTakei,RT
@EmilyWartinger,@AP,RT
@knammari1,@activist360,RT
@ddickersondc,@FoxNews,Reply
@ddickersondc,@MeghanMcCain,Mention
@ddickersondc,@BetsyDeVos,Mention
@ddickersondc,@FoxNewsInsider,Mention
@lightbird_aka,@yashar,RT
@lightbird_aka,@drjillste,Mention
@carmic14,@edsbs,RT
@versharma,@jbendery,RT
@deesurgtec,@tariqnasheed,RT
@vanetti,@alexandraerin,RT
@HabitStyle,@Alyssa_Milano,RT
@HabitStyle,@lisamurkowski,Mention
@HabitStyle,@SenatorCollins,Mention
@sampathduddu,@sampathduddu,Tweet
@TheERRose,@GeorgeTakei,RT
@morgandeckard,@JuddLegum,RT
@maxmythBlueGree,@jobeckerhrw,RT
@maxmythBlueGree,@TribecaFilmIns,RT
@Rogueusedgov,@MrSpock2017,RT
@Dirklerxstprat,@GeorgeTakei,RT
@christinmarie,@audreywatters,RT
@browntk56,@esheikh_,RT
@Harristorically,@EWErickson,RT
@dylanthinks_,@thatkindofplace,RT
@kristinetuna,@BrianWithCheese,RT
@Selenatorgramps,@gogreen18,RT
@quesadiIIas,@quesadiIIas,Tweet
@SayruhWilly,@brianklaas,RT
@mmafightersquad,@ItsDanSheehan,RT
@NaneaKalani,@PoliticsK12,RT
@patty_bray,@NewYorker,RT
@aliensasleep,@mynameisntdave,RT
@realbradadkins,@realbradadkins,Tweet
@fox_gretchen,@brianklaas,RT
@RayLynn2,@CharlesMBlow,RT
@lyz_estrada,@SandraHartle,RT
@ChynnaSyndrome,@PKuperArt,RT
@epersonae,@catvalente,RT
@kylie_rae31,@huntigula,RT
@marge0808,@funder,Reply
@cooperhawke,@StephenAtHome,RT
@mgevaart,@jeremyscahill,RT
@REMPLIES,@SayHillYes,RT
@REMPLIES,@MarcoRubio,Mention
@hjrabble,@TheDurkKnight,Reply
@hardhouz13,@hardhouz13,Tweet
@WJKerbel,@CREDOMobile,RT
@WJKerbel,@SenateGOP,Mention
@cummins_cody,@StephenAtHome,RT
@s_reoch,@s_reoch,Tweet
@TimAnchorhouse,@LabSplice,RT
@MaidenSammaiden,@PersianCeltic,RT
@KTurner116,@StarTribune,RT
@KTurner116,@alfranken,Mention
@leighgoldst,@RepAdamSchiff,RT
@leighgoldst,@usedgov,Mention
@TacTKrl,@Jbrous14,RT
@now7grandkids,@Diane_7A,RT
@BCFloris,@Rose_Marden,RT
@mileoresko,@YourAnonNews,RT
@Politolizer,@Politolizer,Tweet
@kingofconns,@kingofconns,Tweet
@bhaklava,@jchaltiwanger,RT
@FragileLamplite,@taygogo,RT
@Jo31956,@GeorgeTakei,RT
@englishmcb5000,@SethMacFarlane,RT
@WZora,@BetsyDeVos,Mention
@KHorne97,@pattonoswalt,RT
@j00n_lee,@BernieSanders,RT
@baby_fork,@imatoofbrush,RT
@tuskenuf,@CR,RT
@tuskenuf,@NateMadden,Mention
@1ClickBiz,@1ClickBiz,Tweet
